width,height,pixels,target_width,delta,repeats,baseline_mean_s,baseline_std_s,local_mean_s,local_std_s,speedup_baseline_over_local,all_runs_exact_match,max_abs_diff_over_runs,first_mismatch_note
100,67,6700,50,3,10,0.6944895249999997,0.1390074771636365,0.6053565586000003,0.2144526271747874,1.147240440586183,True,0.0,
100,67,6700,50,5,10,0.6944895249999997,0.1390074771636365,1.1165917166999997,0.6031169729258666,0.6219726643257839,True,0.0,
100,67,6700,50,10,10,0.6944895249999997,0.1390074771636365,0.5973614042000002,0.1679107690797673,1.1625952398616641,True,0.0,
160,107,17120,80,3,10,2.594859362599999,0.24308054280622304,1.747028904299998,0.21742486042507658,1.4852984722881335,True,0.0,
160,107,17120,80,5,10,2.594859362599999,0.24308054280622304,2.171134895799999,0.40566246138875967,1.1951626624488803,True,0.0,
160,107,17120,80,10,10,2.594859362599999,0.24308054280622304,2.413915504499998,0.7878155165980624,1.0749586544196295,True,0.0,
256,171,43776,128,3,10,9.662286270700001,0.39103876046389957,6.460461241699997,0.22562632344383826,1.4956031634913856,True,0.0,
256,171,43776,128,5,10,9.662286270700001,0.39103876046389957,6.770347095700009,0.4473337705569586,1.4271478454681776,True,0.0,
256,171,43776,128,10,10,9.662286270700001,0.39103876046389957,6.990308424800008,0.28173740676919834,1.3822403366953637,True,0.0,
360,240,86400,180,3,10,26.810164862500017,2.3438189856773524,19.369650858199975,1.592097345571959,1.3841325823975894,True,0.0,
360,240,86400,180,5,10,26.810164862500017,2.3438189856773524,18.121642387600012,1.0862342820118118,1.47945557522122,True,0.0,
360,240,86400,180,10,10,26.810164862500017,2.3438189856773524,18.221072383299997,0.9464403535599385,1.4713823807138875,True,0.0,
440,294,129360,220,3,10,46.024688808399944,1.0502417015868881,32.40451734590001,0.47896588389628036,1.420317060029386,True,0.0,
440,294,129360,220,5,10,46.024688808399944,1.0502417015868881,35.399209012300005,2.5032927107476954,1.3001615033942693,True,0.0,
440,294,129360,220,10,10,46.024688808399944,1.0502417015868881,34.250595012699975,0.9289990989989179,1.3437631898463132,True,0.0,
512,342,175104,256,3,10,79.7408973001,7.270483231158277,57.514548300099975,2.070403854606862,1.3864474234245423,True,0.0,
512,342,175104,256,5,10,79.7408973001,7.270483231158277,55.43537583349998,1.908107956979411,1.4384478521369026,True,0.0,
512,342,175104,256,10,10,79.7408973001,7.270483231158277,59.684941895799966,2.5826067408017312,1.336030408462396,True,0.0,
